Date,Open,High,Low,Close,Volume,Adj Close
2016-01-27,213.00,219.00,210.00,217.00,78900,217.00
2016-01-26,206.50,215.00,205.00,211.00,128700,211.00
2016-01-25,202.00,208.50,195.00,207.50,71800,207.50
2016-01-22,200.00,213.00,200.00,203.05,130600,203.05
2016-01-21,179.00,193.00,177.00,193.00,113100,193.00
2016-01-20,185.50,185.50,176.50,179.00,84600,179.00
2016-01-19,185.50,194.50,185.00,186.00,68400,186.00
2016-01-18,190.00,190.00,182.50,184.00,20600,184.00
2016-01-15,187.50,193.00,186.00,190.00,65700,190.00
2016-01-14,187.00,195.00,187.00,195.00,37300,195.00
2016-01-13,196.90,201.50,185.00,187.00,84100,187.00
2016-01-12,202.95,205.00,192.60,196.50,59400,196.50
2016-01-11,213.55,215.00,198.50,201.00,96600,201.00
2016-01-08,219.05,221.00,209.30,213.00,80600,213.00
2016-01-07,208.30,223.00,208.30,218.00,78000,218.00
2016-01-06,217.00,218.00,210.00,215.05,49600,215.05
2016-01-05,225.00,225.00,216.60,218.95,38700,218.95
2016-01-04,220.00,222.00,214.00,220.00,80900,220.00
2016-01-01,219.95,219.95,219.95,219.95,000,219.95
2015-12-31,219.95,219.95,219.95,219.95,000,219.95
2015-12-30,227.00,227.25,217.50,219.95,53000,219.95
2015-12-29,228.10,233.00,225.10,226.00,89200,226.00
2015-12-28,230.90,230.90,223.00,230.00,82300,230.00
2015-12-25,231.50,231.50,231.50,231.50,000,231.50
2015-12-24,231.50,231.50,231.50,231.50,000,231.50
2015-12-23,225.00,236.90,225.00,231.50,66700,231.50
2015-12-22,219.00,225.00,217.50,220.00,61100,220.00
2015-12-21,220.00,230.00,213.00,219.75,75600,219.75
2015-12-18,234.50,234.50,215.00,218.00,55600,218.00
2015-12-17,239.00,239.00,223.10,231.00,37800,231.00
2015-12-16,240.00,242.00,230.00,233.00,33800,233.00
2015-12-15,236.00,245.00,236.00,237.00,72500,237.00
2015-12-14,244.00,245.00,234.00,235.00,118300,235.00
2015-12-11,254.00,254.00,243.50,245.00,89000,245.00
2015-12-10,259.00,259.00,252.00,253.00,72200,253.00
2015-12-09,260.00,265.00,252.00,256.00,208100,256.00
2015-12-08,265.00,265.00,265.00,265.00,000,265.00
2015-12-07,265.00,265.00,265.00,265.00,000,265.00
2015-12-04,258.00,265.00,254.00,265.00,37600,265.00
2015-12-03,261.00,267.00,257.00,258.00,139300,258.00
2015-12-02,261.50,263.00,259.00,261.00,45400,261.00
2015-12-01,268.50,272.00,259.05,261.50,114200,261.50
2015-11-30,275.00,275.00,260.00,267.00,89600,267.00
2015-11-27,280.00,280.00,280.00,280.00,000,280.00
2015-11-26,268.00,282.00,268.00,280.00,30300,280.00
2015-11-25,277.00,285.00,266.00,269.00,99100,269.00
2015-11-24,288.00,291.90,277.00,278.00,95800,278.00
2015-11-23,314.00,316.00,275.00,286.05,144300,286.05
2015-11-20,303.00,306.50,295.00,300.00,237900,300.00
2015-11-19,295.00,302.00,290.00,302.00,52300,302.00
2015-11-18,297.70,303.00,293.00,296.00,79900,296.00
2015-11-17,295.00,308.00,295.00,298.00,76600,298.00
2015-11-16,293.00,305.00,290.00,305.00,98000,305.00
